100.43.85.ggf,2017-03-20 00:00:00,2017-03-20 00:00:00,1,1
121.40.161.haf,2017-03-20 00:00:00,2017-03-20 00:00:00,1,2
157.55.39.aca,2017-03-20 00:00:00,2017-03-20 00:00:00,1,1
180.76.15.hbf,2017-03-20 00:00:00,2017-03-20 00:00:00,1,1
180.76.15.jbh,2017-03-20 00:00:00,2017-03-20 00:00:00,1,1
207.241.226.gcd,2017-03-20 00:00:00,2017-03-20 00:00:00,1,1
207.241.226.hjf,2017-03-20 00:00:00,2017-03-20 00:00:00,1,1
210.51.244.fdi,2017-03-20 00:00:00,2017-03-20 00:00:00,1,1
220.181.108.jig,2017-03-20 00:00:00,2017-03-20 00:00:00,1,1
54.165.71.jbf,2017-03-20 00:00:00,2017-03-20 00:00:00,1,1
62.65.39.jcf,2017-03-20 00:00:00,2017-03-20 00:00:00,1,2
69.191.249.aag,2017-03-20 00:00:00,2017-03-20 00:00:00,1,1
69.191.249.eaj,2017-03-20 00:00:00,2017-03-20 00:00:00,1,1
69.191.249.eff,2017-03-20 00:00:00,2017-03-20 00:00:00,1,1
69.191.249.ijh,2017-03-20 00:00:00,2017-03-20 00:00:00,1,1
70.42.2.gjj,2017-03-20 00:00:00,2017-03-20 00:00:00,1,1
72.47.244.jda,2017-03-20 00:00:00,2017-03-20 00:00:00,1,1
74.105.137.acc,2017-03-20 00:00:00,2017-03-20 00:00:00,1,1
38.140.198.fdh,2017-03-20 00:00:00,2017-03-20 00:00:01,2,6
60.173.241.hgj,2017-03-20 00:00:00,2017-03-20 00:00:01,2,4
69.191.249.bdh,2017-03-20 00:00:00,2017-03-20 00:00:01,2,2
69.191.249.ghe,2017-03-20 00:00:00,2017-03-20 00:00:01,2,2
69.191.249.hbh,2017-03-20 00:00:00,2017-03-20 00:00:01,2,2
103.225.160.beg,2017-03-20 00:00:01,2017-03-20 00:00:01,1,1
107.178.194.gch,2017-03-20 00:00:01,2017-03-20 00:00:01,1,1
107.178.194.hbc,2017-03-20 00:00:01,2017-03-20 00:00:01,1,1
180.76.15.aba,2017-03-20 00:00:01,2017-03-20 00:00:01,1,1
180.76.15.fed,2017-03-20 00:00:01,2017-03-20 00:00:01,1,1
180.76.15.gha,2017-03-20 00:00:01,2017-03-20 00:00:01,1,1
217.69.133.fdf,2017-03-20 00:00:01,2017-03-20 00:00:01,1,1
220.181.108.bhe,2017-03-20 00:00:01,2017-03-20 00:00:01,1,1
52.27.240.jda,2017-03-20 00:00:01,2017-03-20 00:00:01,1,1
69.191.249.bgg,2017-03-20 00:00:01,2017-03-20 00:00:01,1,1
69.191.249.caa,2017-03-20 00:00:01,2017-03-20 00:00:01,1,1
69.191.249.gig,2017-03-20 00:00:01,2017-03-20 00:00:01,1,1
138.201.187.bdc,2017-03-20 00:00:00,2017-03-20 00:00:02,3,6
155.97.73.jag,2017-03-20 00:00:00,2017-03-20 00:00:02,3,7
185.25.32.fjb,2017-03-20 00:00:00,2017-03-20 00:00:02,3,3
216.177.161.fdf,2017-03-20 00:00:00,2017-03-20 00:00:02,3,5
218.94.86.gcd,2017-03-20 00:00:00,2017-03-20 00:00:02,3,10
49.81.19.dgd,2017-03-20 00:00:00,2017-03-20 00:00:02,3,3
54.85.114.eib,2017-03-20 00:00:00,2017-03-20 00:00:02,3,23
69.191.249.jag,2017-03-20 00:00:00,2017-03-20 00:00:02,3,2
101.127.2.ffb,2017-03-20 00:00:01,2017-03-20 00:00:02,2,2
107.178.194.gfa,2017-03-20 00:00:01,2017-03-20 00:00:02,2,2
107.178.194.hji,2017-03-20 00:00:01,2017-03-20 00:00:02,2,5
137.116.195.jga,2017-03-20 00:00:01,2017-03-20 00:00:02,2,26
40.114.246.eaj,2017-03-20 00:00:01,2017-03-20 00:00:02,2,8
66.249.66.ccg,2017-03-20 00:00:01,2017-03-20 00:00:02,2,5
72.15.154.eca,2017-03-20 00:00:01,2017-03-20 00:00:02,2,20
107.178.194.gee,2017-03-20 00:00:02,2017-03-20 00:00:02,1,1
107.178.194.hfe,2017-03-20 00:00:02,2017-03-20 00:00:02,1,1
107.178.194.jig,2017-03-20 00:00:02,2017-03-20 00:00:02,1,1
107.178.195.djc,2017-03-20 00:00:02,2017-03-20 00:00:02,1,4
107.178.195.ghe,2017-03-20 00:00:02,2017-03-20 00:00:02,1,1
107.178.195.jag,2017-03-20 00:00:02,2017-03-20 00:00:02,1,1
180.76.15.ahf,2017-03-20 00:00:02,2017-03-20 00:00:02,1,1
23.92.18.ide,2017-03-20 00:00:02,2017-03-20 00:00:02,1,1
40.77.167.idd,2017-03-20 00:00:02,2017-03-20 00:00:02,1,1
66.249.66.eaj,2017-03-20 00:00:02,2017-03-20 00:00:02,1,1
66.249.66.hbh,2017-03-20 00:00:02,2017-03-20 00:00:02,1,1
69.191.249.fhc,2017-03-20 00:00:02,2017-03-20 00:00:02,1,1
72.47.244.ide,2017-03-20 00:00:02,2017-03-20 00:00:02,1,2
94.62.133.bjg,2017-03-20 00:00:02,2017-03-20 00:00:02,1,1
59.180.230.cib,2017-03-20 00:00:00,2017-03-20 00:00:03,4,9
184.189.239.cib,2017-03-20 00:00:01,2017-03-20 00:00:03,3,2
185.25.32.fdh,2017-03-20 00:00:01,2017-03-20 00:00:03,3,2
104.196.213.ebi,2017-03-20 00:00:02,2017-03-20 00:00:03,2,3
